"layers: 9, Hidden: 20","layers: 10, Hidden: 3","layers: 4, Hidden: 10","layers: 4, Hidden: 8","layers: 4, Hidden: 12","layers: 5, Hidden: 4","layers: 10, Hidden: 7","layers: 8, Hidden: 17","layers: 2, Hidden: 19","layers: 5, Hidden: 18"
1.4127,0.9177,2.2958,1.0059,1.2001,2.9727,1.5765,1.3007,0.7527,1.0204
1.3967,0.9155,2.2814,1.0001,1.1924,2.9641,1.5697,1.2861,0.7428,1.0082
1.3809,0.9134,2.2669,0.9943,1.1849,2.9555,1.563,1.2716,0.7332,0.9962
1.3652,0.9113,2.2526,0.9886,1.1773,2.9469,1.5563,1.2573,0.7237,0.9843
1.3497,0.9091,2.2383,0.9829,1.1699,2.9383,1.5496,1.2432,0.7144,0.9725
1.3343,0.907,2.2241,0.9772,1.1624,2.9298,1.5429,1.2292,0.7053,0.9609
1.3191,0.9049,2.2099,0.9716,1.155,2.9213,1.5362,1.2154,0.6964,0.9495
1.304,0.9028,2.1958,0.966,1.1476,2.9128,1.5296,1.2018,0.6877,0.9382
1.2891,0.9007,2.1818,0.9604,1.1403,2.9043,1.523,1.1883,0.6791,0.927
1.2743,0.8986,2.1679,0.9548,1.133,2.8959,1.5163,1.1749,0.6708,0.916
1.2597,0.8965,2.154,0.9493,1.1258,2.8874,1.5097,1.1618,0.6626,0.9051
1.2452,0.8944,2.1402,0.9439,1.1186,2.879,1.5032,1.1488,0.6547,0.8945
1.2308,0.8923,2.1265,0.9385,1.1114,2.8706,1.4966,1.1359,0.6469,0.8839
1.2167,0.8903,2.1128,0.9331,1.1043,2.8622,1.4901,1.1233,0.6394,0.8735
1.2026,0.8882,2.0993,0.9277,1.0973,2.8539,1.4835,1.1107,0.632,0.8633
1.1887,0.8862,2.0858,0.9224,1.0903,2.8456,1.477,1.0984,0.6249,0.8532
1.175,0.8841,2.0723,0.9172,1.0833,2.8373,1.4706,1.0862,0.6179,0.8433
1.1614,0.8821,2.059,0.9119,1.0763,2.829,1.4641,1.0742,0.6111,0.8335
1.148,0.88,2.0457,0.9068,1.0695,2.8207,1.4576,1.0623,0.6046,0.8239
1.1347,0.878,2.0324,0.9016,1.0626,2.8125,1.4512,1.0506,0.5982,0.8145
1.1216,0.876,2.0193,0.8965,1.0558,2.8042,1.4448,1.0391,0.592,0.8052
1.1086,0.874,2.0062,0.8914,1.0491,2.796,1.4384,1.0277,0.586,0.796
1.0958,0.872,1.9932,0.8864,1.0424,2.7879,1.4321,1.0165,0.5802,0.7871
1.0831,0.87,1.9803,0.8814,1.0357,2.7797,1.4257,1.0055,0.5746,0.7782
