"layers: 5, Hidden: 18","layers: 6, Hidden: 19","layers: 4, Hidden: 10","layers: 4, Hidden: 11","layers: 9, Hidden: 20","layers: 10, Hidden: 21","layers: 8, Hidden: 17","layers: 9, Hidden: 17","layers: 5, Hidden: 4","layers: 6, Hidden: 4"
tensor(1.0204),tensor(0.9747),tensor(2.2958),tensor(1.3853),tensor(1.4127),tensor(0.7517),tensor(1.3007),tensor(0.5181),tensor(2.9727),tensor(0.7009)
tensor(1.0082),tensor(0.9635),tensor(2.2814),tensor(1.3748),tensor(1.3967),tensor(0.7414),tensor(1.2861),tensor(0.5144),tensor(2.9641),tensor(0.6985)
tensor(0.9962),tensor(0.9524),tensor(2.2669),tensor(1.3643),tensor(1.3809),tensor(0.7314),tensor(1.2716),tensor(0.5108),tensor(2.9555),tensor(0.6962)
tensor(0.9843),tensor(0.9415),tensor(2.2526),tensor(1.3540),tensor(1.3652),tensor(0.7215),tensor(1.2573),tensor(0.5073),tensor(2.9469),tensor(0.6938)
tensor(0.9725),tensor(0.9307),tensor(2.2383),tensor(1.3437),tensor(1.3497),tensor(0.7119),tensor(1.2432),tensor(0.5039),tensor(2.9383),tensor(0.6915)
tensor(0.9609),tensor(0.9200),tensor(2.2241),tensor(1.3335),tensor(1.3343),tensor(0.7024),tensor(1.2292),tensor(0.5007),tensor(2.9298),tensor(0.6892)
tensor(0.9495),tensor(0.9095),tensor(2.2099),tensor(1.3233),tensor(1.3191),tensor(0.6931),tensor(1.2154),tensor(0.4975),tensor(2.9213),tensor(0.6869)
tensor(0.9382),tensor(0.8991),tensor(2.1958),tensor(1.3133),tensor(1.3040),tensor(0.6840),tensor(1.2018),tensor(0.4946),tensor(2.9128),tensor(0.6846)
tensor(0.9270),tensor(0.8889),tensor(2.1818),tensor(1.3033),tensor(1.2891),tensor(0.6750),tensor(1.1883),tensor(0.4917),tensor(2.9043),tensor(0.6824)
tensor(0.9160),tensor(0.8788),tensor(2.1679),tensor(1.2934),tensor(1.2743),tensor(0.6663),tensor(1.1749),tensor(0.4890),tensor(2.8959),tensor(0.6801)
tensor(0.9051),tensor(0.8689),tensor(2.1540),tensor(1.2836),tensor(1.2597),tensor(0.6578),tensor(1.1618),tensor(0.4864),tensor(2.8874),tensor(0.6779)
tensor(0.8945),tensor(0.8591),tensor(2.1402),tensor(1.2738),tensor(1.2452),tensor(0.6495),tensor(1.1488),tensor(0.4839),tensor(2.8790),tensor(0.6756)
tensor(0.8839),tensor(0.8494),tensor(2.1265),tensor(1.2642),tensor(1.2308),tensor(0.6413),tensor(1.1359),tensor(0.4816),tensor(2.8706),tensor(0.6734)
tensor(0.8735),tensor(0.8399),tensor(2.1128),tensor(1.2546),tensor(1.2167),tensor(0.6334),tensor(1.1233),tensor(0.4794),tensor(2.8622),tensor(0.6712)
tensor(0.8633),tensor(0.8305),tensor(2.0993),tensor(1.2451),tensor(1.2026),tensor(0.6257),tensor(1.1107),tensor(0.4773),tensor(2.8539),tensor(0.6690)
tensor(0.8532),tensor(0.8213),tensor(2.0858),tensor(1.2357),tensor(1.1887),tensor(0.6181),tensor(1.0984),tensor(0.4754),tensor(2.8456),tensor(0.6669)
tensor(0.8433),tensor(0.8122),tensor(2.0723),tensor(1.2264),tensor(1.1750),tensor(0.6108),tensor(1.0862),tensor(0.4736),tensor(2.8373),tensor(0.6647)
tensor(0.8335),tensor(0.8032),tensor(2.0590),tensor(1.2171),tensor(1.1614),tensor(0.6037),tensor(1.0742),tensor(0.4719),tensor(2.8290),tensor(0.6626)
tensor(0.8239),tensor(0.7944),tensor(2.0457),tensor(1.2079),tensor(1.1480),tensor(0.5967),tensor(1.0623),tensor(0.4703),tensor(2.8207),tensor(0.6604)
tensor(0.8145),tensor(0.7858),tensor(2.0324),tensor(1.1989),tensor(1.1347),tensor(0.5900),tensor(1.0506),tensor(0.4689),tensor(2.8125),tensor(0.6583)
tensor(0.8052),tensor(0.7772),tensor(2.0193),tensor(1.1899),tensor(1.1216),tensor(0.5835),tensor(1.0391),tensor(0.4676),tensor(2.8042),tensor(0.6562)
tensor(0.7960),tensor(0.7688),tensor(2.0062),tensor(1.1809),tensor(1.1086),tensor(0.5771),tensor(1.0277),tensor(0.4663),tensor(2.7960),tensor(0.6541)
tensor(0.7871),tensor(0.7606),tensor(1.9932),tensor(1.1721),tensor(1.0958),tensor(0.5710),tensor(1.0165),tensor(0.4652),tensor(2.7879),tensor(0.6520)
tensor(0.7782),tensor(0.7525),tensor(1.9803),tensor(1.1633),tensor(1.0831),tensor(0.5651),tensor(1.0055),tensor(0.4643),tensor(2.7797),tensor(0.6500)
tensor(0.7696),tensor(0.7445),tensor(1.9675),tensor(1.1547),tensor(1.0705),tensor(0.5594),tensor(0.9946),tensor(0.4634),tensor(2.7716),tensor(0.6479)
tensor(0.7610),tensor(0.7367),tensor(1.9547),tensor(1.1461),tensor(1.0581),tensor(0.5538),tensor(0.9839),tensor(0.4626),tensor(2.7635),tensor(0.6459)
